Name,Release Date,Rating,Genre(s),Platform(s),Theme(s),Keyword(s),Developer(s),Player Perspective,Game Mode(s)
Rogueween,,,"Role-playing (RPG), Strategy, Indie",PC (Microsoft Windows),Action,"roguelike, bullet hell, halloween, demo, free demo",,Bird view / Isometric,Single player
Tupi: The Legend of Arariboia,,,"Role-playing (RPG), Turn-based strategy (TBS)","PlayStation 4, PC (Microsoft Windows), PlayStation 5","Action, Fantasy","roguelike, mythology, brazil, roguelite, brazilian culture, brazilian folklore, indigenous",Mito Games,Side view,Single player
Coastal Kingdoms,,,"Strategy, Indie",PC (Microsoft Windows),,"city builder, roguelite, hex grid",,,Single player
Casino Rogue,,,"Strategy, Indie, Card & Board Game",PC (Microsoft Windows),,"poker, roguelike",,,Single player
Hell On Earth,,,"Role-playing (RPG), Indie",PC (Microsoft Windows),Action,"roguelite, action roguelike","2Frogs Software, LLC",Bird view / Isometric,"Single player, Multiplayer, Co-operative"
Maximum Apocalypse: The Video Game,,,"Role-playing (RPG), Adventure",PC (Microsoft Windows),"Action, Survival","2d, roguelike, comic book, co-op campaign",Mega Cat Studios,Side view,"Single player, Multiplayer, Co-operative"
Babies vs. Monsters,,,"Role-playing (RPG), Hack and slash/Beat 'em up, Indie",PC (Microsoft Windows),Action,"roguelike, bullet hell, bullet time, roguelite",Foxpider Games,Bird view / Isometric,Single player
Asbak,,,"Platform, Role-playing (RPG), Hack and slash/Beat 'em up, Adventure, Indie",PC (Microsoft Windows),"Action, Fantasy, Horror, Mystery","anime, roguelike, 2d platformer","Team Fossil, Vifth Floor",,Single player
Kalasta,,,Role-playing (RPG),PC (Microsoft Windows),,"roguelite, deckbuilder",,Side view,Single player
Antisuns,,,"Role-playing (RPG), Simulator, Strategy, Indie",PC (Microsoft Windows),Science fiction,"turn-based tactics, procedurally generated, tactical rpg ( trpg ), time rewind, roguelite",Nicolai Czempin,Bird view / Isometric,Single player
Ava and the Half-World,,,"Shooter, Adventure, Indie",PC (Microsoft Windows),Action,"roguelike, bullet hell",Bread Panda,"Third person, Side view",Single player
Pegglo,,,"Puzzle, Pinball, Indie, Arcade",PC (Microsoft Windows),,"casual, roguelike, pachinko","Bloub Team, Concepts",Side view,Single player
DeathTower,,,Tactical,"PC (Microsoft Windows), PlayStation 5, Nintendo Switch",Science fiction,"cyberpunk, turn-based tactics, pixel art, pixel graphics, tactical rpg ( trpg ), roguelite, cyberpunk rpg, turn-based rpg",Headbang Club,Bird view / Isometric,Single player
Two Sides of Hell,,,"Shooter, Indie, Arcade",PC (Microsoft Windows),"Action, Science fiction","hell, retro, bloody, mech, demon, procedural generation, run and gun, space, demons, gore, procedurally generated, 2d platformer, gun, roguelite, retro arcade shooter, power-ups, action platformer, metal slug, action roguelite, doom",Red Sky Games,Side view,"Single player, Multiplayer, Co-operative"
13Z,,,Adventure,PC (Microsoft Windows),Action,"roguelike, online multiplayer, roguelite",Mixed Realms Pte Ltd,Third person,"Single player, Multiplayer, Co-operative"
Cube Hero,,,"Puzzle, Strategy, Tactical, Adventure, Indie",PC (Microsoft Windows),Action,"roguelike, turn-based tactics, free demo, deck-building",,"Bird view / Isometric, Side view",Single player
Iron Hunters,,,Role-playing (RPG),PC (Microsoft Windows),"Action, Science fiction","procedural generation, bullet hell, bounty hunting, roguelite, alien world, action roguelike, mechs",Nameless Game Studios,Bird view / Isometric,Single player
Depths of Ascension,,,"Role-playing (RPG), Turn-based strategy (TBS), Adventure",PC (Microsoft Windows),"Action, Fantasy",roguelike,Promethean Interactive,Bird view / Isometric,Single player
Felbound,,,,"PC (Microsoft Windows), Nintendo Switch","Action, Fantasy","roguelike, nextfest june 2025",Poink Games,Bird view / Isometric,Single player
Pool of Madness,,,"Sport, Adventure, Indie",PC (Microsoft Windows),,"lovecraftian, steam achievements, steam cloud, steam leaderboards, remote play, roguelite",Bit Golem,"First person, Virtual Reality","Single player, Multiplayer, Co-operative"
Dinner Defenders,,,"Strategy, Tactical",PC (Microsoft Windows),Survival,"tower defense, roguelike, bullet hell",Reima Project,Bird view / Isometric,Single player
Kinny and the Lost Starlight,,,"Strategy, Indie",PC (Microsoft Windows),,roguelike,,,Single player
Nightmare Arts,,,"Indie, Arcade",PC (Microsoft Windows),Action,roguelike,"VoxPop Games, MundanePixel, Moon Jam Games",,Single player
Mechjestic,,,"Role-playing (RPG), Indie, Card & Board Game",PC (Microsoft Windows),,"roguelike, card based combat, roguelite, deck-building, roguelike deckbuilder, deckbuilder, card battler",Skinny Bandit,"Bird view / Isometric, Side view",Single player
Sipher Odyssey,,,"Role-playing (RPG), Adventure","Android, iOS","Action, Fantasy, Science fiction","roguelite, blockchain, nft",Ather Labs,Bird view / Isometric,"Single player, Multiplayer, Co-operative"
Gelli Fields,,,"Simulator, Adventure, Indie",PC (Microsoft Windows),Fantasy,"casual, magic, minigames, roguelike, fishing, farming, pixel art, clicker, steam achievements, cozy, idler",Wonderpond,Side view,Single player
Fudgy Dice,,,"Role-playing (RPG), Strategy, Indie",PC (Microsoft Windows),,"procedural generation, female protagonist, cute, pixel graphics, dice, turn-based combat, colorful, cartoony, roguelite, free demo, deck-building",,,"Single player, Multiplayer"
Pixel Quest: Survivor,,,"Role-playing (RPG), Indie",PC (Microsoft Windows),Action,"roguelike, roguelite, action roguelike",LV99 Studios,Bird view / Isometric,"Single player, Multiplayer, Co-operative"
Reboot Heroes,,,"Strategy, Adventure, Card & Board Game","PC (Microsoft Windows), Mac","Fantasy, Science fiction","roguelike, card based combat, deckbuilder, autobattler",Chop Chop Games,Side view,Single player
Demonic Deckmaster,,,Strategy,PC (Microsoft Windows),,"roguelite, card battler",,,Single player
Siphonogore,,,"Role-playing (RPG), Strategy",PC (Microsoft Windows),Horror,"roguelike, choose your own adventure, dungeon crawling, turn-based combat, choices matter",,Side view,Single player
Helios Horizon,,,Indie,PC (Microsoft Windows),"Action, Science fiction",roguelike,Enhydra Games,Bird view / Isometric,Single player
Korga's Arena,,,"Role-playing (RPG), Strategy, Indie",PC (Microsoft Windows),,"roguelite, deck-building",Blink Studios,Bird view / Isometric,Single player
Astral Arena,,,"Role-playing (RPG), Strategy, Adventure, Indie",PC (Microsoft Windows),"Action, Fantasy","roguelike, monster tamer, action roguelike",The Game Garden,,Single player
Pinball Blitz,,,"Pinball, Indie, Arcade",PC (Microsoft Windows),Action,"retro, 2d, roguelike, pinball",devindoubt,,Single player
Tower of Whispers,,,"Hack and slash/Beat 'em up, Indie",,Action,"roguelike, dark fantasy, cosmic horror, eldritch horror, action roguelike",,Bird view / Isometric,Single player
Zahak,,,"Adventure, Indie",PC (Microsoft Windows),Fantasy,"roguelike, persian mythology",Caspian Interactive,Bird view / Isometric,"Single player, Multiplayer, Co-operative"
The Luckiest in the Megaverse,,,Indie,PC (Microsoft Windows),"Science fiction, Comedy, Mystery","casual, roguelite, idler","Yonder, Rednoy",Text,Single player
Another Door,,,"Strategy, Turn-based strategy (TBS), Indie, Card & Board Game","PC (Microsoft Windows), Mac","Fantasy, Horror, Party","roguelike, dark fantasy, multi-selection choices, turn-based rpg",,"Bird view / Isometric, Text","Multiplayer, Co-operative"
Enter the Titan,,,"Puzzle, Turn-based strategy (TBS), Tactical, Indie",,,"roguelike, roguelite, deck-building, roguelike deckbuilder, deckbuilder",Clockwork Acorn,Side view,Single player
Zumbi Blocks 2,,,"Shooter, Indie",PC (Microsoft Windows),"Action, Survival","roguelite, zombie shooter",,"First person, Third person","Single player, Multiplayer, Co-operative"
Blocks for Babies,,,"Shooter, Puzzle, Indie",PC (Microsoft Windows),Action,"roguelike, tetris, roguelite",BunkSoft Interactive,First person,Single player
Everstorm,,,"Role-playing (RPG), Strategy, MOBA",PC (Microsoft Windows),"Action, Fantasy","online multiplayer, roguelite",Thousand Hour Games,,"Single player, Multiplayer, Co-operative"
Degu Squad,,,"Role-playing (RPG), Strategy, Adventure, Indie",,,roguelite,"Millwoo Studio, Jibeijia",Bird view / Isometric,Single player
Bottle of Ghouls,,,"Simulator, Strategy",,Action,"pirates, roguelike",Desort Games,Bird view / Isometric,Single player
Ground Zero Hero,,,"Adventure, Indie","Xbox Series X|S, PC (Microsoft Windows), Mac, Nintendo Switch","Action, Survival","post-apocalyptic, mutation, roguelike, roguelite, action roguelike",Rowan Edmondson,"Bird view / Isometric, Side view",Single player
Zeal-X2,,,"Platform, Indie, Arcade",PC (Microsoft Windows),"Action, Science fiction",roguelite,"EGAMMO.gaming, Hen-Woll",Side view,"Single player, Co-operative"
Hell Knight,,,"Strategy, Tactical, Adventure, Indie",PC (Microsoft Windows),"Action, Fantasy","knights, hell, roguelike, roguelite, deck-building, roguelike deckbuilder",,Side view,Single player
Red Metal,,,"Shooter, Indie",PC (Microsoft Windows),"Action, Science fiction, Survival","vehicular combat, roguelike, vehicle combat, roguelite",Silent Factory,Third person,Single player
Scrap Age,,,"Shooter, Hack and slash/Beat 'em up, Indie","Oculus VR, Meta Quest 2, SteamVR, Meta Quest 3","Action, Science fiction","arena, roguelike, arena shooter, arena combat, roguelite, vr only, multiplayer fps",Fractal Blue Entertainment,"First person, Virtual Reality","Single player, Multiplayer, Co-operative"
The Verge Miner,,,"Role-playing (RPG), Simulator, Strategy, Adventure, Indie","Linux, PC (Microsoft Windows), Mac",Action,"tower defense, roguelike, mining, roguelite",Rogue Duck Interactive,,
Sea Of Rifts,,,"Role-playing (RPG), Adventure, Indie",PC (Microsoft Windows),"Action, Horror, Open world, Mystery","pirates, exploration, psychological horror, roguelike, dark fantasy, procedural generation, sailing, story rich, choices matter, naval combat, lore rich",Out Of Bounds Games,Bird view / Isometric,Single player
Star Deck,,,"Role-playing (RPG), Strategy, Turn-based strategy (TBS), Indie, Card & Board Game",,Science fiction,"turn-based, roguelike, card based combat, rpg elements, roguelite, roguelike deckbuilder",,Third person,Single player
Witchhammer,,,Indie,PC (Microsoft Windows),Action,"roguelike, deck-building, danmaku",,Third person,Single player
Dross,,,"Shooter, Adventure, Indie","Linux, PC (Microsoft Windows), Mac","Action, Science fiction, Horror","roguelike, permadeath, arena shooter, demo, free demo",Team_Derelict,First person,"Single player, Multiplayer, Co-operative, Split screen"
Emerald Woods,,,"Simulator, Indie","Web browser, PC (Microsoft Windows)","Survival, Sandbox, Open world","roguelike, fishing, crafting, farming, building",Slashware Interactive,Bird view / Isometric,Single player
WYzards,,,"Role-playing (RPG), Indie, Card & Board Game",PC (Microsoft Windows),"Action, Fantasy","roguelike, pvp, pve, crowdfunding, pvpve, dungeon, extraction, crowdfunding - nuuvem","SehLoiro, CriticalLeap, SLGames",Bird view / Isometric,"Single player, Multiplayer"
Fluffy Doki Sunshine,,,Arcade,PC (Microsoft Windows),Action,"surrealism, destruction, roguelike, humour, bullet hell, cute, colorful, roguelite",Duck Reaction,,Single player
Ikaro: Will Not Die,,,"Simulator, Adventure, Indie","Xbox Series X|S, PC (Microsoft Windows), PlayStation 5",Action,"exploration, roguelike, space","FuturLab, Thunderful Publishing",Third person,Single player
Hallow Hunt,,,"Shooter, Indie",PC (Microsoft Windows),Action,"roguelike, procedural generation, atmospheric",Lucas Trigueiro,Bird view / Isometric,Single player
Silkbulb Test,,,"Adventure, Indie",PC (Microsoft Windows),,"choose your own adventure, roguelite",oxblud,,"Single player, Multiplayer, Co-operative"
Enter The Night,,,"Role-playing (RPG), Indie",PC (Microsoft Windows),Action,roguelike,,,Single player
Slimewest,,,"Shooter, Role-playing (RPG), Hack and slash/Beat 'em up, Indie",PC (Microsoft Windows),Action,"western, roguelike, bullet hell, action roguelike","lassuli, mikhael",,"Single player, Multiplayer, Co-operative"
Cog: The Rogue Machine,,,"Platform, Adventure, Indie",PC (Microsoft Windows),"Action, Fantasy","roguelike, pixel art, pixel graphics, roguelite, roguelike platform, mascot platformer",Lost Generation Games,Side view,Single player
Corvian Curse,,,"Platform, Indie",,Action,"roguelike, roguelike platform",,,Single player
V-Gunn,,,"Shooter, Adventure, Indie",,Action,"roguelike, vtuber",,Bird view / Isometric,Single player
Dungeon Croaker,,,"Strategy, Indie",PC (Microsoft Windows),Fantasy,roguelike,Greedable,Bird view / Isometric,Single player
Midnight Blood Rush,,,Indie,PC (Microsoft Windows),Action,"vampire, roguelike, roguelite",,,Single player
GunRun,,,"Shooter, Indie","Linux, PC (Microsoft Windows)",Action,"roguelike, bullet hell",Terry Brash,Bird view / Isometric,Single player
MindXcope,,,"Adventure, Indie","Meta Quest 2, SteamVR","Action, Comedy, Drama","conspiracy, surreal, cartoony, roguelite",Leafboat Studio,"First person, Virtual Reality",Single player
Courier 79,,,"Racing, Strategy",PC (Microsoft Windows),Action,"roguelike, driving, transport",corrox,Bird view / Isometric,Single player
What the Hell,,,"Shooter, Indie",,Action,roguelike,Red Goat Games,Bird view / Isometric,Single player
Infinite Realms,,,"Role-playing (RPG), Strategy, Turn-based strategy (TBS), Tactical, Indie, Card & Board Game",PC (Microsoft Windows),"Fantasy, 4X (explore, expand, exploit, and exterminate)","roguelite, deckbuilder",Blink Studios,Bird view / Isometric,Single player
Last Spartan: Glory Over Madness,,,"Strategy, Turn-based strategy (TBS), Tactical, Indie, Card & Board Game","Xbox Series X|S, PlayStation 4, PC (Microsoft Windows), iOS, PlayStation 5, Nintendo Switch","Action, Fantasy, Horror, Historical, Mystery","exploration, psychological horror, roguelike, management, lovecraftian, multiple endings, dungeon crawler, online multiplayer, turn-based combat, city builder, choices matter, multiplayer dlc, card based combat, tactical turn-based combat, randomly generated dungeons, roguelite, town building, branching plot, meaningful choices, collecting card game - ccg, dark ambient, roguelike deckbuilder, replayability, deckbuilder",,"Third person, Bird view / Isometric, Side view","Single player, Multiplayer"
Harma,,,"Strategy, Indie, Card & Board Game",PC (Microsoft Windows),Fantasy,"retro, 1980s, turn-based, roguelike, dark fantasy, story rich",INDIRECT SHINE,,Single player
Arcane Depths,,,Indie,PC (Microsoft Windows),"Action, Fantasy","roguelike, bullet hell, dungeon crawler, bullet heaven",Next in Game,Bird view / Isometric,Single player
Crystalis Descendant,,,Indie,"Linux, PC (Microsoft Windows), Mac",Action,"shoot 'em up, bullet hell, roguelite",Boxsun,Bird view / Isometric,Single player
Blazing Dragon,,,"Role-playing (RPG), Strategy, Adventure, Indie",PC (Microsoft Windows),"Action, Fantasy",roguelite,"LIGA Facens, Smyowl Game Studio",Bird view / Isometric,Single player
GalRock Girls,,,"Role-playing (RPG), Indie",PC (Microsoft Windows),Action,"bullet hell, roguelite",ZetaFlame Games,Bird view / Isometric,Single player
Guardians,,,"Role-playing (RPG), Hack and slash/Beat 'em up, Indie",PC (Microsoft Windows),Action,"shoot 'em up, 3d, roguelike, pvp, bullet hell, space, pve, realism, roguelite",Born2Play Games,Bird view / Isometric,"Single player, Multiplayer, Co-operative"
Paris Transylvania,,,"Role-playing (RPG), Strategy, Turn-based strategy (TBS), Pinball, Indie, Card & Board Game","Web browser, Linux, PC (Microsoft Windows), Mac","Action, Fantasy, Mystery","zombies, vampire, turn-based, roguelike, procedural generation, permadeath, pachinko, pve, cartoon graphics, steam achievements, roguelite, turn-based rpg, roguelike deckbuilder, deckbuilder, card battler, steam families",Magneticlake,,Single player
Elite Rogue,,,"Shooter, Indie",PC (Microsoft Windows),"Action, Fantasy","roguelike, roguelite, action roguelike",Void Chamber,Third person,"Single player, Multiplayer, Co-operative"
Dungeon of the Forgotten King,,,"Role-playing (RPG), Turn-based strategy (TBS), Indie",PC (Microsoft Windows),Fantasy,"roguelike, jrpg, permadeath, pixel art game",,Side view,Single player
The Stubborn of WakGood: Afterheat,,,"Shooter, Role-playing (RPG), Indie",,Action,"roguelike, roguelite",,Third person,Single player
C.L.T.: Cheguei Louco no Trabalho,,,"Shooter, Puzzle, Arcade",PC (Microsoft Windows),"Action, Survival",roguelike,Onirico Studios,Bird view / Isometric,Single player
Last Equinox: Winds of Change,,,"Role-playing (RPG), Adventure",PC (Microsoft Windows),"Action, Fantasy","roguelite, made in brazil",Alameda Games,Bird view / Isometric,Single player
The Gun is Good,,,"Shooter, Indie",PC (Microsoft Windows),Action,roguelike,Northwood Gameworks,Bird view / Isometric,Single player
Drill Keeper,,,"Strategy, Indie, Card & Board Game",PC (Microsoft Windows),"Science fiction, Survival","roguelike, space, base building, mining",ShoulderByte,Bird view / Isometric,Single player
Slag,,,"Strategy, Indie",PC (Microsoft Windows),Action,roguelike,Black Robin Games,Bird view / Isometric,Single player
Wing Queen,,,"Hack and slash/Beat 'em up, Adventure, Indie",PC (Microsoft Windows),Fantasy,"roguelite, deck-building",Baby Dolphin Games,Side view,Single player
Kind Nature,,,"Strategy, Card & Board Game","PC (Microsoft Windows), Mac",Action,"base building, turn-based combat, roguelite",PolyPirates,"Bird view / Isometric, Side view",Single player
Realms of Wilorth,,,"Role-playing (RPG), Hack and slash/Beat 'em up, Adventure, Indie",PC (Microsoft Windows),"Action, Fantasy, Survival","retro, dungeon crawler, deliberately retro, twin stick control, roguelite, retro styled",Reckless Monster Studio,Bird view / Isometric,Single player
Nomad,,,"Shooter, Adventure, Indie",PC (Microsoft Windows),Action,"roguelike, bullet hell, arena shooter, action roguelike",Gregorski,First person,Single player
Ants in Space!,,,"Strategy, Tactical",PC (Microsoft Windows),,roguelike,Mezumo,Bird view / Isometric,Single player
Clawed Cult,,,"Shooter, Role-playing (RPG), Indie","Xbox Series X|S, PlayStation 4, PC (Microsoft Windows), PlayStation 5, Xbox One, Nintendo Switch",Action,"roguelite, bullet heaven","Cotton Cat Studios, QUByte Interactive",Bird view / Isometric,Single player
Slice and Bite,,,"Shooter, Platform, Adventure, Indie",PC (Microsoft Windows),"Action, Fantasy, Comedy","medieval, vampire, shmup, cartoon graphics, pixel art, pixel graphics, pizza, story rich, 2d platformer, roguelite",Tiny Mold,Side view,Single player
Space Leaper: Reboot,,,"Role-playing (RPG), Strategy","Android, iOS",Science fiction,"roguelike, pixelated",Natasky Games Limited,Bird view / Isometric,Single player
Outlaw Kingdom,,,"Role-playing (RPG), Strategy, Turn-based strategy (TBS), Tactical, Indie",PC (Microsoft Windows),,"medieval, 3d, base building, tactical rpg ( trpg ), roguelite, auto battler",Spelkollektivet,Bird view / Isometric,Single player
Riftstorm,,,"Shooter, Role-playing (RPG)",PC (Microsoft Windows),Action,"online co-op, roguelite, looter shooter, ai-generated voices, steam families, nextfest june 2025",Agate,Bird view / Isometric,"Single player, Multiplayer, Co-operative"
Grow the Seed,,,"Simulator, Strategy, Indie",PC (Microsoft Windows),Survival,"god game, roguelike, farming, family friendly, deckbuilder",4z4_production,,Single player
Downtown Dealers,,,Strategy,PC (Microsoft Windows),,"roguelike, roguelike deckbuilder, deckbuilder",District Dungeon,,Single player
Umbratica Tactics,,,"Strategy, Turn-based strategy (TBS), Tactical, Indie",PC (Microsoft Windows),Fantasy,"vampire, roguelike, gothic, turn-based tactics, pixel art, pixel graphics, grid-based movement, vampires, tactical turn-based combat, vampire hunter, roguelite, roguelike deckbuilder, deckbuilder, grid-based",The Atomic Life,Bird view / Isometric,Single player
Witchmore,,,"Shooter, Role-playing (RPG), Indie","Linux, PC (Microsoft Windows), Mac","Action, Fantasy, Sandbox","witches, roguelite",Valadria,Bird view / Isometric,Single player
TileDeck TD,,,"Simulator, Strategy, Card & Board Game",PC (Microsoft Windows),Action,"tower defense, medieval, roguelite",Ultima Interactive,Bird view / Isometric,Single player
ArrowMongers,,,"Shooter, Puzzle, Adventure, Indie",PC (Microsoft Windows),Action,roguelite,PhantomSphere,Bird view / Isometric,Single player
The Doorway Effect,,,"Adventure, Indie",PC (Microsoft Windows),Action,"exploration, psychological horror, demon, roguelike, procedural generation, survival horror, online multiplayer, roguelike horror, extraction horror",2 Left Thumbs,First person,"Single player, Multiplayer, Co-operative"
Deadlock Station,,,"Role-playing (RPG), Strategy, Tactical, Adventure",PC (Microsoft Windows),"Action, Science fiction","post-apocalyptic, roguelike, cyborg, pixelart, autobattler",Critical Reflex,Bird view / Isometric,Single player
Blood 'N Bullets,,,"Adventure, Indie","Linux, PC (Microsoft Windows), Mac",Action,"2d, roguelike",PurpleBoy,Bird view / Isometric,Single player
Null Breach,,,"Platform, Indie, Arcade",PC (Microsoft Windows),Action,"roguelike, procedurally generated, precision platforming",,Side view,Single player
FrankenStorm TD,,,"Strategy, Indie",PC (Microsoft Windows),,"tower defense, roguelike, maze","Doodad Games, Ethan Close",Bird view / Isometric,Single player
Card Nova Hyper,,,"Role-playing (RPG), Card & Board Game",PC (Microsoft Windows),Action,"roguelike, card based combat, tokyo, deck-building, suggestive themes, roguelike deckbuilder, deckbuilder",PERENNIAL HEARTS,,Single player
Caverns,,,"Platform, Adventure, Indie",PC (Microsoft Windows),Action,"procedural generation, pixel graphics, mining, controller support, roguelite, underground",,Side view,Single player
Sinner's Tavern,,,"Platform, Adventure, Indie",PC (Microsoft Windows),Action,"procedural generation, procedurally generated, 2d platformer, roguelite",WoolCat Games,First person,Single player
Spellrain,,,"Role-playing (RPG), Adventure, Indie",PC (Microsoft Windows),Action,"roguelike, bullet hell, cute, roguelite",Slime Team,Bird view / Isometric,Single player
NeuroSquad,,,"Shooter, Role-playing (RPG), Indie",PC (Microsoft Windows),"Action, Science fiction","roguelike, arena shooter, roguelite, twin stick, bullet heaven, action roguelike, action-rpg",Nemori Studio,Bird view / Isometric,Single player
Doomsday Fodder,,,Indie,PC (Microsoft Windows),Action,"roguelike, trading card game",MoreGames Entertainment,Third person,Single player
The Stubborn of WakGood,,,"Shooter, Role-playing (RPG), Indie",,,"roguelike, shooting, roguelite, fangame",,Bird view / Isometric,
Elements Cubed,,,"Fighting, Shooter, Adventure, Indie, Arcade","Xbox Series X|S, PlayStation 4, PC (Microsoft Windows), PlayStation 5, Xbox One","Action, Fantasy, Survival","roguelike, pvp, bullet hell, couch co-op, local co-op, local multiplayer, crowdfunding - kickstarter, roguelite",Bacon Studio,Third person,"Single player, Multiplayer, Co-operative, Split screen"
Electrokinetic,,,"Platform, Hack and slash/Beat 'em up, Indie",PC (Microsoft Windows),Action,"3d, parkour, roguelike, 3d platformer, single-player only, controller support, solo developer, realtime 3d, multiple playable characters",rittzler,Third person,Single player
Sword of the Necromancer: Revenant,,,"Role-playing (RPG), Adventure, Indie","Xbox Series X|S, PlayStation 4, PC (Microsoft Windows), PlayStation 5, Xbox One, Nintendo Switch","Action, Fantasy","dungeon crawler, city builder, necromancy, roguelite, zelda-like",Grimorio of Games,Third person,"Single player, Multiplayer, Co-operative, Split screen"
Upheaval,,,"Role-playing (RPG), Turn-based strategy (TBS), Adventure, Indie","Linux, Android, PC (Microsoft Windows), Mac","Fantasy, Open world","exploration, interactive fiction, turn-based, roguelike, choices matter, text-heavy, text-based adventure",Alex Leone,Text,Single player
Uncured,,,"Fighting, Platform, Role-playing (RPG), Hack and slash/Beat 'em up, Adventure, Indie","Linux, PC (Microsoft Windows), Mac",Action,"post-apocalyptic, metroidvania, steampunk, rpg elements, roguelite",EndRealm,Side view,Single player
Dark Tree,,,"Role-playing (RPG), Adventure, Indie",PC (Microsoft Windows),Action,"roguelike, crpg, roguelite",A17 Studio,,"Single player, Multiplayer, Co-operative"
Cats Kill Zombies,,,"Shooter, Indie",PC (Microsoft Windows),Action,"zombies, post-apocalyptic, roguelike, cats",Matheus Antonio,Bird view / Isometric,Single player
Fourspell Survivors Online,,,Indie,"PC (Microsoft Windows), Mac","Action, Fantasy","roguelike, dark fantasy, bullet hell, roguelite",Supernova Games,Bird view / Isometric,"Single player, Multiplayer, Co-operative"
Memories of Planet,,,"Hack and slash/Beat 'em up, Indie, Arcade",PC (Microsoft Windows),"Action, Science fiction","roguelike, futuristic",CTWJ Game Studio,Third person,"Single player, Multiplayer, Co-operative"
Streets of Rogue 2,,,"Role-playing (RPG), Simulator, Adventure, Indie","Xbox Series X|S, PlayStation 4, Linux, PC (Microsoft Windows), PlayStation 5, Mac, Xbox One, Nintendo Switch","Action, Survival, Stealth, Sandbox, Open world","demo, shared screen, steam cloud, roguelite, free demo, action roguelike, nextfest october 2024","Matt Dabrowski, tinyBuild",Bird view / Isometric,"Single player, Multiplayer, Co-operative, Split screen"
Gimmiko,,,Indie,PC (Microsoft Windows),Action,"roguelike, demo, roguelite, free demo","Critical Reflex, SorryPoniko!",Bird view / Isometric,Single player
Cardseer,,,"Strategy, Indie, Card & Board Game",PC (Microsoft Windows),"Fantasy, Warfare","roguelike, campaign, roguelite, deck-building, roguelike deckbuilder",,Side view,Single player
Emancipator Go!,,,"Role-playing (RPG), Adventure, Indie",PC (Microsoft Windows),Action,"roguelike, bullet hell",Mandinga,Bird view / Isometric,Single player
TinyAttack,,,Indie,"Linux, PC (Microsoft Windows)","Action, Fantasy",roguelite,TinyBird Games,Bird view / Isometric,Single player
Immortal: And the Death that Follows,,,"Adventure, Indie",PC (Microsoft Windows),Action,"roguelike, metroidvania, crowdfunding - kickstarter",,Side view,"Single player, Multiplayer, Co-operative"
Hellvivors,,,"Shooter, Adventure",PC (Microsoft Windows),"Action, Horror",roguelike,Gorestation,Bird view / Isometric,Single player
AHOD: All Hands on Deck!,,,Indie,PC (Microsoft Windows),Action,"pirates, roguelite, free demo, action roguelike, card battler, pirate",Flat Thumb Interactive,,"Single player, Multiplayer, Co-operative"
Voidhunter,,,"Simulator, Indie",PC (Microsoft Windows),"Action, Science fiction","fast paced, procedural generation, space, controller support, roguelite",,,Single player
Caveshifter,,,Hack and slash/Beat 'em up,PC (Microsoft Windows),"Action, Fantasy","roguelike, roguelite, action roguelike, cave",,Bird view / Isometric,Single player
CapoeiRogue: Dandara Cordão de Ouro,,,"Fighting, Indie",PC (Microsoft Windows),Action,"roguelike, mythology, roguelite, brazilian culture, capoeira",OkaeriDev,Bird view / Isometric,Single player
The Ourboros King,,,Turn-based strategy (TBS),PC (Microsoft Windows),"Fantasy, Warfare","chess, roguelike, turn-based tactics, roguelite",Oriol Cosp Games,Text,Single player
CatchKing,,,"Role-playing (RPG), Adventure, Indie",,Fantasy,"casual, roguelike, fishing, roguelite, blockchain, collectathon, nft",,Bird view / Isometric,"Multiplayer, Massively Multiplayer Online (MMO)"
Terramachi: Battle Card Game,,,"Strategy, Indie, Card & Board Game","Android, PC (Microsoft Windows), iOS","Action, Fantasy","online multiplayer, roguelite, online game",Real Noise Labs,Side view,"Single player, Multiplayer"
Cardterrupters,,,"Role-playing (RPG), Card & Board Game",PC (Microsoft Windows),,"roguelike, roguelite, deck-building",Fuzz Force,Bird view / Isometric,Single player
Rogue Blight,,,"Role-playing (RPG), Indie","Linux, PC (Microsoft Windows), Mac",Action,"roguelike, roguelite, soulslike, action roguelike",,Side view,Single player
Virus,,,"Adventure, Indie",,Action,roguelike,PixelRift Studios,Side view,Single player
Burning Skies,,,"Shooter, Indie, Arcade",PC (Microsoft Windows),Action,"procedural generation, shmup, bullet hell, roguelite",NukGames,,Single player
Crete,,,"Shooter, Tactical, Hack and slash/Beat 'em up, Adventure",PC (Microsoft Windows),"Action, Science fiction, Survival","story driven, roguelike",Mayhem Mirror Studios,Third person,"Single player, Multiplayer, Co-operative, Split screen"
Cyber Lancer,,,"Shooter, Indie, Arcade",PC (Microsoft Windows),Action,"roguelike, mecha",,Third person,"Single player, Multiplayer, Co-operative, Split screen"
Sweep Serf,,,"Platform, Puzzle, Strategy, Indie",Web browser,Sandbox,"roguelike, minesweeper",HungryGuyGames,Side view,Single player
Saisen Meikyuu,,,,Android,Action,roguelike,,,Single player
Codename: Apocalypse,,,"Role-playing (RPG), Indie, Card & Board Game",PC (Microsoft Windows),"Drama, Mystery","post-apocalyptic, roguelike, permadeath, hand-drawn, deck-building",RANK B,First person,Single player
Pitch Deck,,,"Fighting, Adventure, Indie, Arcade","PC (Microsoft Windows), Mac","Action, Survival",roguelite,Bacon Studio,First person,Single player
